NSEcode,BSEcode,ISIN,full_name,industry_name,industry_id,sector_name,sector_id,TL_SCORE
20MICRONS,533022,INE144J01027,20 Microns Ltd.,Mining,77,Metals & Mining,13,75.6280563888888792689613183028995990753173828125
3IINFOLTD,532628,INE748C01038,3i Infotech Ltd.,IT Consulting & Software,70,Software & Services,1,33.77000083333333435575696057640016078948974609375
3MINDIA,523395,INE470A01017,3M India Ltd.,Industrial Machinery,62,General Industrials,24,64.0558324999999939564077067188918590545654296875
SECURKLOUD,512161,INE650K01021,Securekloud Technologies Ltd.,Internet Software & Services,66,Software & Services,1,
A2ZINFRA,533292,INE619I01012,A2Z Infra Engineering Ltd.,Construction & Engineering,26,Cement and Construction ,26,43.4094444444444462760657188482582569122314453125
AARTIDRUGS,524348,INE767A01016,Aarti Drugs Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,59.456945277777776937000453472137451171875
AARTIIND,524208,INE769A01020,Aarti Industries Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,38.1677769444444408009076141752302646636962890625
AARVEEDEN,514274,INE273D01019,Aarvee Denims and Exports Ltd.,Textiles,119,Textiles Apparels & Accessories,8,39.45750083333333435575696057640016078948974609375
ABAN,523204,INE421A01028,Aban Offshore Ltd.,Exploration & Production,41,Oil & Gas,12,
ABB,500002,INE117A01022,ABB India Ltd.,Heavy Electrical Equipment,54,General Industrials,24,66.8125
ABBOTINDIA,500488,INE358A01014,Abbott India Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,57.619445277777771252658567391335964202880859375
ACC,500410,INE012A01025,ACC Ltd.,Cement & Cement Products,18,Cement and Construction ,26,68.61305638888887870052712969481945037841796875
ACCELYA,532268,INE793A01012,Accelya Solutions India Ltd.,IT Consulting & Software,70,Software & Services,1,45.2430555555555571345394128002226352691650390625
ACE,532762,INE731H01025,Action Construction Equipment Ltd.,Construction & Engineering,26,Cement and Construction ,26,68.034167499999995243342709727585315704345703125
ADANIENT,512599,INE423A01024,Adani Enterprises Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
ADANIPORTS,532921,INE742F01042,Adani Ports & Special Economic Zone Ltd.,Marine Port & Services,75,Transportation,9,65.6780563888888906376450904645025730133056640625
ADANIPOWER,533096,INE814H01011,Adani Power Ltd.,Electric Utilities,39,Utilities,28,64.79722138888888594010495580732822418212890625
ADFFOODS,519183,INE982B01027,ADF Foods Ltd.,Packaged Foods,95,FMCG,7,58.6049991666666727496703970246016979217529296875
ADORWELD,517041,INE045A01017,Ador Welding Ltd.,Other Industrial Goods,89,General Industrials,24,44.152776944444440232473425567150115966796875
ADSL,532875,INE102I01027,Allied Digital Services Ltd.,IT Consulting & Software,70,Software & Services,1,67.30749916666667331810458563268184661865234375
ADVANIHOTR,523269,INE199C01026,Advani Hotels & Resorts (India) Ltd.,Hotels,56,Hotels Restaurants & Tourism,30,46.5330555555555491764607722871005535125732421875
AEGISLOG,500003,INE208C01025,Aegis Logistics Ltd.,Oil Marketing & Distribution,83,Oil & Gas,12,63.4747213888888808241972583346068859100341796875
INSPIRISYS,532774,INE020G01017,Inspirisys Solutions Ltd.,IT Consulting & Software,70,Software & Services,1,65.7602777777777731671449146233499050140380859375
AGARIND,531921,INE204E01012,Agarwal Industrial Corporation Ltd.,Petrochemicals,98,Chemicals & Petrochemicals,2,61.5863880555555596174599486403167247772216796875
BBOX,500463,INE676A01027,Black Box Ltd.,IT Consulting & Software,70,Software & Services,1,60.1494452777777723895269446074962615966796875
AGRITECH,537292,INE449G01018,Agri-Tech (India) Ltd.,Other Agricultural Products,84,Food Beverages & Tobacco,4,
AHLEAST,533227,INE926K01017,Asian Hotels (East) Ltd.,Hotels,56,Hotels Restaurants & Tourism,30,53.89527694444443994825633126311004161834716796875
AHLUCONT,532811,INE758C01029,Ahluwalia Contracts (India) Ltd.,Construction & Engineering,26,Cement and Construction ,26,59.490834166666672899737022817134857177734375
AIAENG,532683,INE212H01026,AIA Engineering Ltd.,Other Industrial Goods,89,General Industrials,24,52.2699991666666647915917565114796161651611328125
AICHAMP,532806,INE768E01024,AI Champdany Industries Ltd.,Jute & Jute Products,74,Textiles Apparels & Accessories,8,26.398889722222218523484116303734481334686279296875
GEPIL,532309,INE878A01011,GE Power India Ltd.,Heavy Electrical Equipment,54,General Industrials,24,40.54694444444444201280930428765714168548583984375
AJANTPHARM,532331,INE031B01049,Ajanta Pharma Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,63.3472213888888830979340127669274806976318359375
AJMERA,513349,INE298G01027,Ajmera Realty & Infra India Ltd.,Realty,103,Realty,18,62.64194527777777210530985030345618724822998046875
AKSHOPTFBR,532351,INE523B01011,Aksh Optifibre Ltd.,Telecom Cables,116,Telecommunications Equipment,22,36.7066658333333322161706746555864810943603515625
AKZOINDIA,500710,INE133A01011,Akzo Nobel India Ltd.,Furniture-Furnishing-Paints,49,Diversified Consumer Services,15,62.6086102777777711025919415988028049468994140625
ALEMBICLTD,506235,INE426A01027,Alembic Ltd.,Realty,103,Realty,18,57.22499916666667019171654828824102878570556640625
ALICON,531147,INE062D01024,Alicon Castalloy Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,69.4305563888888883639083360321819782257080078125
ALKALI,533029,INE773I01017,Alkali Metals Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,48.71833416666667204708573990501463413238525390625
ALKYLAMINE,506767,INE150B01039,Alkyl Amines Chemicals Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,45.7330555555555520186317153275012969970703125
ALLCARGO,532749,INE418H01029,Allcargo Logistics Ltd.,Transportation - Logistics,120,Transportation,9,24.8177786111111089439873467199504375457763671875
ALLDIGI,532633,INE835G01018,Alldigi Tech Ltd.,BPO/KPO,13,Software & Services,1,68.2947213888888882138417102396488189697265625
ALMONDZ,531400,INE326B01035,Almondz Global Securities Ltd.,Capital Markets,126,Banking and Finance,21,61.8372230555555546516188769601285457611083984375
ALOKINDS,521070,INE270A01029,Alok Industries Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
ALPA,532878,INE385I01010,Alpa Laboratories Ltd.,Biotechnology,12,Pharmaceuticals & Biotechnology,17,71.6863888888888851624869857914745807647705078125
ALPHAGEO,526397,INE137C01018,Alphageo (India) Ltd.,Oil Equipment & Services,82,Oil & Gas,12,62.561110277777771671026130206882953643798828125
ALPINEHOU,526519,INE840D01015,Alpine Housing Development Corporation Ltd.,Realty,103,Realty,18,68.3983324999999950932760839350521564483642578125
ALPSINDUS,530715,INE093B01015,Alps Industries Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
GET&D,522275,INE200A01026,GE T&D India Ltd.,Industrial Machinery,62,General Industrials,24,70.659999999999996589394868351519107818603515625
ARE&M,500008,INE885A01032,Amara Raja Energy & Mobility Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,56.80888805555554910142745939083397388458251953125
AMARJOTHI,521097,INE484D01012,Amarjothi Spinning Mills Ltd.,Textiles,119,Textiles Apparels & Accessories,8,56.4686119444444472037503146566450595855712890625
AMBIKCO,531978,INE540G01014,Ambika Cotton Mills Ltd.,Textiles,119,Textiles Apparels & Accessories,8,42.9233333333333320069868932478129863739013671875
AMBUJACEM,500425,INE079A01024,Ambuja Cements Ltd.,Cement & Cement Products,18,Cement and Construction ,26,63.78555638888889234294765628874301910400390625
AMDIND,532828,INE005I01014,AMD Industries Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,43.1391658333333367636441835202276706695556640625
AMRUTANJAN,590006,INE098F01031,Amrutanjan Health Care Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,53.84777777777777174605944310314953327178955078125
AMTL,534612,INE436N01029,Advance Metering Technology Ltd.,Electric Utilities,39,Utilities,28,
ANANTRAJ,515055,INE242C01024,Anant Raj Ltd.,Realty,103,Realty,18,59.3208341666666711944344569928944110870361328125
ACL,532141,INE666E01020,Andhra Cements Ltd.,Cement & Cement Products,18,Cement and Construction ,26,25.23972222222221972742772777564823627471923828125
ANDHRSUGAR,590062,INE715B01021,Andhra Sugars Ltd.,Commodity Chemicals,22,Chemicals & Petrochemicals,2,53.8363880555555596174599486403167247772216796875
ANIKINDS,519383,INE087B01017,Anik Industries Ltd.,Diversified,36,Diversified,11,60.9502777777777708934081601910293102264404296875
ANKITMETAL,532870,INE106I01010,Ankit Metal & Power Ltd.,Iron & Steel/Interm.Products,68,Metals & Mining,13,
ANSALAPI,500013,INE436A01026,Ansal Properties & Infrastructure Ltd.,Realty,103,Realty,18,
ANSALHSG,507828,INE880B01015,Ansal Housing Ltd.,Realty,103,Realty,18,79.548056388888880974263884127140045166015625
ANTGRAPHIC,526715,INE414B01021,Antarctica Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,
APARINDS,532259,INE372A01015,Apar Industries Ltd.,Other Electrical Equipment/Products,86,Consumer Durables,23,49.08694444444444116015802137553691864013671875
APCOTEXIND,523694,INE116A01032,Apcotex Industries Ltd.,Auto Tyres & Rubber Products,10,Automobiles & Auto Components,20,40.17277694444444335886146291159093379974365234375
APLAB,517096,INE273A01015,Aplab Ltd.,Other Electrical Equipment/Products,86,Consumer Durables,23,51.63944527777777437904660473577678203582763671875
APLAPOLLO,533758,INE702C01027,APL Apollo Tubes Ltd.,Iron & Steel Products,69,Metals & Mining,13,40.806944444444440023289644159376621246337890625
APLLTD,533573,INE901L01018,Alembic Pharmaceuticals Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,71.99750000000000227373675443232059478759765625
APOLLOHOSP,508869,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare Facilities,51,Diversified Consumer Services,15,49.85722305555555777800691430456936359405517578125
APOLLOTYRE,500877,INE438A01022,Apollo Tyres Ltd.,Auto Tyres & Rubber Products,10,Automobiles & Auto Components,20,75.472499999999996589394868351519107818603515625
APTECHT,532475,INE266F01018,Aptech Ltd.,IT Training Services,73,Software & Services,1,32.1175008333333380505791865289211273193359375
ARCHIDPLY,532994,INE877I01016,Archidply Industries Ltd.,Forest Products,48,Forest Materials,16,49.1044444444444394548554555512964725494384765625
ARCHIES,532212,INE731A01020,Archies Ltd.,Gift Articles-Toys & Cards ,50,Retailing,6,34.4458333333333399650655337609350681304931640625
ARIES,532935,INE298I01015,Aries Agro Ltd.,Agrochemicals,5,Chemicals & Petrochemicals,2,74.8472213888888830979340127669274806976318359375
531381,531381,INE413D01011,Arihant Foundations & Housing Ltd.,Realty,103,Realty,18,80.2625000000000028421709430404007434844970703125
AROGRANITE,513729,INE210C01013,Aro Granite Industries Ltd.,Construction Materials,27,Cement and Construction ,26,68.7944452777777684104876243509352207183837890625
ARSHIYA,506074,INE968D01022,Arshiya Ltd.,Transportation - Logistics,120,Transportation,9,31.63416583333333420569033478386700153350830078125
ARSSINFRA,533163,INE267I01010,ARSS Infrastructure Projects Ltd.,Construction & Engineering,26,Cement and Construction ,26,
ARVIND,500101,INE034A01011,Arvind Ltd.,Textiles,119,Textiles Apparels & Accessories,8,56.12333416666666607852675952017307281494140625
